2026-05-04 18:58:14, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-04 18:58:15, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-04 19:00:34, EXEC, v:1, k:src@go, mode:FREE, size:259
2026-05-04 18:58:14, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 18:58:14, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 18:58:14, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 18:58:14, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 18:58:14, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:00:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:00:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:01:12, EXEC, v:1, k:src@go, mode:FREE
2026-05-04 19:01:56, EXEC, v:1, k:src@go, mode:FREE
2026-05-04 19:00:59, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:00:59, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:01:56, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:06:38, EXEC, v:1, k:src@go, mode:FREE
2026-05-04 19:06:38, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:13:56, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:20:04, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:25:03, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:30:37, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:35:33, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:40:30, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:45:11, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:50:02, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 19:57:33, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 20:02:20, MOVE, v:1, k:ed@editorint, mode:EDIT
